artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
Giovanni Battista Ramenghi,,,,,,,,,1545.0,1559.0,,,,,No,,Bagnacavallo,1521,Bologna,1601,male,Province of Bologna,painter,[]
Lam Qua,,,,,,,,,,,China,,,{China:1},,,,1801,,1860,male,Qing Dynasty,painter,[]
Pan,,,,,,,,,2011.0,2011.0,,,,,Yes,,Careri,1885,Pavia,1974,male,Kingdom of Italy,"['journalist', 'writer']",[]
Santi di Tito,,,,,,,,,1589.0,1599.0,,,,,No,,Florence,1536,Florence,1603,male,Duchy of Florence,"['painter', 'architect']","[{'location': 'Florence', 'start_time': '1554-01-01T00:00:00Z', 'end_time': '1558-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1558-01-01T00:00:00Z'}]"
Nikolaos Xydias Typaldos,,,,,,,,,1875.0,1875.0,,,,,No,,Kefalonia,1826,Athens,1909,male,Greece,painter,[]
Giovanni Michele Graneri,,,,,,,,,1572.0,1747.0,,,,,No,,Turin,1736,Turin,1778,male,,painter,"{'location': 'Turin', 'start_time': '1736-01-01T00:00:00Z', 'end_time': '1761-01-01T00:00:00Z', 'point_in_time': None}"
Oh,,,,,,,,,1949.0,1987.0,,,,,,,,,,,female,,[],[]
Alan Goldstein,,,,,,,,,1981.0,1981.0,,,,,,,Brooklyn,1936,West Bloomfield Township,2009,male,United States of America,football player,[]
Cristoforo Savolini,,,,,,,,,1660.0,1670.0,,,,,No,,,1639,,1677,male,,painter,[]
Ramiro Arrue,,,,,,,,,1919.0,1919.0,,,,,No,,Bilbao,1892,Saint-Jean-de-Luz,1971,male,Spain,painter,"{'location': 'France', 'start_time': '1910-01-01T00:00:00Z', 'end_time': '1978-01-01T00:00:00Z', 'point_in_time': None}"
William John Whittemore,,,,,,,,,1888.0,1889.0,,,,,No,,New York City,1860,New Hampton,1955,male,United States of America,painter,[]
Francesco da Cotignola,,,,,,,,,1512.0,1512.0,,,,,No,,Cotignola,1475,Ravenna,1532,male,,painter,[]
Sebastiano Filippi,,,,,,,,,1560.0,1569.0,,,,,No,,Ferrara,1532,Ferrara,1602,male,,painter,"[{'location': 'Ferrara', 'start_time': '1577-01-01T00:00:00Z', 'end_time': '1584-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1550-01-01T00:00:00Z'}]"
Benedetto Coda,,,,,,,,,1530.0,1530.0,,,,,No,,Treviso,1492,Rimini,1535,male,,painter,[]
Georgios Margaritis,,,,,,,,,1844.0,1844.0,,,,,No,,Smyrna,1814,Athens,1884,male,Greece,painter,[]
Adolfo Guiard,,,,,,,,,1887.0,1903.0,,,,,No,,Bilbao,1860,Bilbao,1916,male,Spain,painter,[]
Leonardas Gutauskas,,,,,,,,,2000.0,2010.0,,,,,Yes,,Kaunas,1938,Vilnius,2021,male,Lithuania,"['prose writer', 'visual artist', 'poet', 'writer']",[]
Angelo Trezzini,,,,,,,,,1865.0,1870.0,,,,,No,,Milan,1827,Milan,1904,male,Kingdom of Italy,painter,"{'location': 'Milan', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Santiago Rusiñol i Prats,,,,,,,,,1896.0,1896.0,,,,,No,,Barcelona,1861,Aranjuez,1931,male,Spain,"['novelist', 'art critic', 'journalist', 'painter', 'playwright', 'poet', 'writer']",[]
Jerónimo Vicente Vallejo Cosida,,,,,,,,,1574.0,1583.0,,,,,No,,Zaragoza,1510,Zaragoza,1592,male,Kingdom of Aragon,"['sculptor', 'painter', 'goldsmith', 'architect']",[]
Girolamo Negri,,,,,,,,,1670.0,1718.0,,,,,No,,Bologna,1648,Bologna,1720,male,,"['painter', 'Catholic bishop', 'Catholic priest', 'theologian']",[]
Giovanni Andrea Sirani,,,,,,,,,1650.0,1650.0,,,,,No,,Bologna,1610,Bologna,1670,male,,painter,"{'location': 'Bologna', 'start_time': '1625-01-01T00:00:00Z', 'end_time': '1670-01-01T00:00:00Z', 'point_in_time': None}"
Shahabuddin Ahmed,,,,,,,,,,,Paris,,,{Paris:2},,,Kendua Upazila,1930,Combined Military Hospital,2022,male,British Raj,"['politician', 'lawyer', 'judge', 'painter', 'bureaucrat']",[]
Niccolo Renieri,,,,,,,,,,,Italy,,,{Italy:2},,,Maubeuge,1590,Venice,1667,male,County of Flanders,"['painter', 'merchant']","[{'location': 'Rome', 'start_time': '1617-01-01T00:00:00Z', 'end_time': '1625-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': '1639-01-01T00:00:00Z'}, {'location': 'Parma', 'start_time': '1616-01-01T00:00:00Z', 'end_time': '1617-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Modena', 'start_time': '1638-01-01T00:00:00Z', 'end_time': '1639-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1607-01-01T00:00:00Z', 'end_time': '1616-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Venice', 'start_time': '1626-01-01T00:00:00Z', 'end_time': '1667-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Mantua', 'start_time': None, 'end_time': None, 'point_in_time': '1639-01-01T00:00:00Z'}]"
Melchior Feselen,,,,,,,,,1531.0,1531.0,,,,,No,,Passau,1495,Ingolstadt,1538,male,Germany,"['painter', 'engraver']",[]
Thomas Hicks,,,,,,,,,1850.0,1863.0,,,,,No,,Birmingham,1876,Winnipeg,1952,male,United States of America,"['marathon runner', 'athletics competitor', 'long-distance runner', 'painter', 'film actor', 'sculptor', 'guitarist', 'songwriter', 'singer', 'actor', 'bobsledder', 'tennis player', 'researcher']",[]
Ni Yide,,,,,,,,,1948.0,1948.0,,,,,No,,,1901,,1970,male,,painter,[]
Giovanni Battista Brambilla,,,,,,,,,1675.0,1675.0,,,,,No,,,,,,male,,painter,[]
Josep Duran i Riera,,,,,,,,,1879.0,1879.0,,,,,No,,Barcelona,1849,,1928,male,Spain,painter,[]
Francisco Sans Cabot,,,,,,,,,1871.0,1871.0,,,,,No,,Girona,1828,Madrid,1881,male,Spain,painter,[]
Jacopo del Casentino,,,,,,,,,1342.0,1350.0,,,,,No,,Florence,1297,Pratovecchio,1358,male,,painter,"{'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Dmitry Shorin,,,,,,,,,2008.0,2008.0,St. Petersburg,,,{St. Petersburg:2},Yes,,Novosibirsk,1971,,,male,Russia,"['sculptor', 'painter']",[]
Vicente Palmaroli,,,,,,,,,,,"Spain, Madrid",,,"{Madrid:2},{Spain:2}",,,Zarzalejo,1834,Madrid,1896,male,Spain,painter,[]
Filippo da Verona,,,,,,,,,1514.0,1515.0,,,,,No,,Verona,,,,male,Italy,painter,[]
Antoine Ignace Melling,,,,,,,,,1890.0,1891.0,,,,,No,,Karlsruhe,1763,Paris,1831,male,France,"['painter', 'architect']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Gonzalo Bilbao Martínez,,,,,,,,,1912.0,1912.0,,,,,No,,Seville,1860,Madrid,1938,male,Spain,painter,"{'location': 'Madrid', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Giuseppe Canella,,,,,,,,,1834.0,1834.0,,,,,No,,Verona,1788,Florence,1847,male,Republic of Venice,painter,"[{'location': 'Netherlands', 'start_time': '1827-01-01T00:00:00Z', 'end_time': '1831-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Milan', 'start_time': '1819-01-01T00:00:00Z', 'end_time': '1820-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Verona', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'The Hague', 'start_time': None, 'end_time': None, 'point_in_time': '1828-01-01T00:00:00Z'}, {'location': 'Mantua', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Madrid', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Spain', 'start_time': '1820-01-01T00:00:00Z', 'end_time': '1823-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Barcelona', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': '1823-01-01T00:00:00Z'}, {'location': 'Valencia', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Naples', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Unknown painter,,,,,,,,,1700.0,1770.0,,,,,No,,,,,,,,[],[]
Juan José Gárate,,,,,,,,,1901.0,1939.0,,,,,No,,Albalate del Arzobispo,1869,Madrid,1939,male,Spain,painter,[]
Claude,,,,,,,,,1642.0,1642.0,,,,,No,,Montreal,1932,Mirabel,2011,male,Canada,"['recording artist', 'songwriter', 'pianist', 'actor', 'French Resistance fighter', 'military personnel']",[]
Giuseppe Molteni,,,,,,,,,1838.0,1838.0,,,,,No,,Affori,1800,Milan,1867,male,Kingdom of Italy,"['restorer', 'painter']",[]
Abbas Al-Musavi,,,,,,,,,,,"Isfahan, Iran",,,"{Isfahan:2},{Iran:2}",,,,,,,,,painter,[]
Henry Lamb,,,,,,,,,,,"United Kingdom, England",,,"{England:2},{United Kingdom:2}",,,Adelaide,1883,Salisbury,1960,male,Australia,"['painter', 'war artist']",[]
Frank Craig,,,,,,,,,,,"United Kingdom, England",,,"{England:2},{United Kingdom:2}",,,Abbey Wood,1874,Sintra,1918,male,United Kingdom of Great Britain and Ireland,"['painter', 'illustrator']",[]
Jennie Augusta Brownscombe,,,,,,,,,1887.0,1887.0,,,,,No,,Honesdale,1850,New York City,1936,female,United States of America,"['painter', 'artist']",[]
Beppe Ciardi,,,,,,,,,1910.0,1915.0,,,,,No,,Venice,1875,Quinto di Treviso,1932,male,Kingdom of Italy,painter,[]
Pieter Mulier,,,,,,,,,1690.0,1701.0,,,,,No,,Haarlem,1637,Milan,1701,male,Netherlands,painter,[]
Glyn Philpot,,,,,,,,,,,"United Kingdom, England",,,"{England:2},{United Kingdom:2}",,,Clapham,1884,London,1937,male,United Kingdom of Great Britain and Ireland,"['visual artist', 'sculptor', 'painter']","[{'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Eduard Charlemont,,,,,,,,,1878.0,1878.0,,,,,No,,Vienna,1848,Vienna,1906,male,Austria,painter,[]
Luigi Bisi,,,,,,,,,1840.0,1848.0,,,,,No,,Milan,1814,Milan,1886,male,Kingdom of Italy,"['drawer', 'botanical illustrator', 'painter', 'architect']","{'location': 'Milan', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Sanyu,"French,Chinese",École de Paris,,,,,,,1920.0,2011.0,,,,,Yes,,Nanchong,1901,Paris,1966,male,Republic of China,"['painter', 'politician']","[{'location': 'Paris', 'start_time': '1921-01-01T00:00:00Z', 'end_time': '1966-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Guglielmo Ciardi,,,,,,,,,1880.0,1891.0,,,,,No,,Venice,1842,Venice,1917,male,Kingdom of Lombardy–Venetia,painter,[]
Claude Raguet Hirst,,,,,,,,,1890.0,1890.0,,,,,No,,Cincinnati,1855,New York City,1942,female,United States of America,"['wood carver', 'painter', 'artist']","{'location': 'New York City', 'start_time': '1880-01-01T00:00:00Z', 'end_time': '1942-01-01T00:00:00Z', 'point_in_time': None}"
Zhang Xiaoming,,,,,,,,,1998.0,1998.0,,,,,,,Taizhou,1963,,,male,People's Republic of China,"['politician', 'auctioneer', 'art historian']",[]
Benjamin Williams Leader,,,,,,,,,1878.0,1881.0,,,,,No,,Worcester,1831,Surrey,1923,male,United Kingdom of Great Britain and Ireland,painter,[]
Grigory Chernetsov,,,,,,,,,,,Russia,,,{Russia:2},,,Lukh,1802,Saint Petersburg,1865,male,Russian Empire,"['lithographer', 'drawer', 'painter']",[]
Baron François Gérard,,,,,,,,,1814.0,1814.0,,,,,No,,Rome,1770,Paris,1837,male,France,"['portraitist', 'painter', 'illustrator', 'politician', 'teacher']","[{'location': 'Paris', 'start_time': '1792-01-01T00:00:00Z', 'end_time': '1837-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': '1790-01-01T00:00:00Z', 'end_time': '1792-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1782-01-01T00:00:00Z', 'end_time': '1790-01-01T00:00:00Z', 'point_in_time': None}]"
Badalocchio,,,,,,,,,1607.0,1607.0,,,,,No,,Parma,1585,Parma,1647,male,,"['printmaker', 'painter']","[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Parma', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Giuseppe Romani,,,,,,,,,1680.0,1727.0,,,,,No,,,1654,Madrid,1680,male,,painter,"{'location': 'Spain', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Nakamura Fusetsu,,,,,,,,,1903.0,1903.0,,,,,No,,Minato,1866,Negishi,1943,male,Japan,"['calligrapher', 'painter']",[]
David Ligare,American,,"{Photorealism (Super-Realism, Hyper-Realism):15}",,,,,,1978.0,2000.0,,Hyper-Realism:1978-2000,{Hyper-Realism:15},,Yes,,Oak Park,1945,,,male,United States of America,"['drawer', 'painter']",[]
Marco Gozzi,,,,,,,,,1810.0,1815.0,,,,,No,,San Giovanni Bianco,1759,Milan,1839,male,Austrian Empire,painter,"[{'location': 'Milan', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bergamo', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Herbert Badham,,,,,,,,,,,"Sydney, Australia",,,"{Sydney:1},{Australia:1}",,,Sydney,1899,Sydney,1961,male,Australia,painter,[]
Ray Smith,,,,,,,,,1989.0,1990.0,,,,,,,Inverness,1941,Burlington,1979,male,Canada,"['novelist', 'writer', 'songwriter', 'musician', 'singer', 'film actor', 'television actor', 'stage actor', 'actor', 'basketball player', 'baseball player', 'priest', 'rugby league player', 'rugby union player', 'Australian rules football player', 'cricketer', 'Canadian football player', 'football player', 'sculptor', 'painter', 'illustrator', 'businessperson', 'politician', 'association football player', 'artist', 'racewalker', 'athlete', 'visual artist', 'programmer']","[{'location': 'Toronto', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Montreal', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Tieleman Cato Bruining,,,,,,,,,,,Leiden,,,{Leiden:1},,,Nieuwkoop,1801,The Hague,1877,male,Netherlands,"['printmaker', 'etcher']","[{'location': 'The Hague', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Leiden', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Masuo Ikeda,,,,,,,,,1965.0,1965.0,,,,,No,,Shenyang,1934,,1997,male,Japan,"['printmaker', 'ceramicist', 'novelist', 'film director', 'graphic artist', 'sculptor', 'painter', 'illustrator', 'printer']","{'location': 'Tokyo', 'start_time': None, 'end_time': None, 'point_in_time': '1952-01-01T00:00:00Z'}"
Takeshi Ishiguro,,,,,,,,,2010.0,2010.0,,,,,Yes,,,1969,,,male,Japan,designer,[]
Andor Borúth,,,,,,,,,1910.0,1950.0,,,,,No,,Sátoraljaújhely,1873,,1955,male,Hungary,painter,"[{'location': 'Budapest', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Tatranská Polianka', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Gensou Okuda,,,,,,,,,,,"Japan, Tokyo",,,"{Tokyo:1},{Japan:1}",,,Yawata,1912,Fujimidai,2003,male,Japan,Nihonga painter,[]
Western Electronic Show and Convention,,,,,,,,,1957.0,1957.0,,,,,No,,,,,,,,[],[]
Marie-Geneviève Navarre,,,,,,,,,1774.0,1774.0,,Neoclassicism:1774-1774,{Neoclassicism:1},,No,,Paris,1735,Paris,1795,female,France,painter,"{'location': 'Paris', 'start_time': '1762-01-01T00:00:00Z', 'end_time': '1776-01-01T00:00:00Z', 'point_in_time': None}"
Lucy Stone,,,,,,,,,1878.0,1878.0,,,,,No,,West Brookfield,1818,Boston,1893,female,United States of America,"[""women's rights activist"", 'suffragist', 'abolitionist', 'journalist', 'editor', 'writer']",[]
Lydia Maria Child,,,,,,,,,1880.0,1880.0,,,,,No,,Medford,1802,Wayland,1880,female,United States of America,"['novelist', 'journalist', 'geologist', 'poet', 'writer']",[]
Qian Songyan,,,,,,,,,1985.0,1985.0,,,,,,,Yixing,1899,Nanjing,1985,male,,painter,[]
Sun Hao,,,,,,,,,2014.0,2014.0,,,,,Yes,,,243,,284,male,Eastern Wu,"['politician', 'diplomat']",[]
Li Keran,,,,,,,,,1989.0,1989.0,,,,,,,Tongshan District,1907,Beijing,1989,male,Republic of China,"['painter', 'artist']","{'location': ""People's Republic of China"", 'start_time': None, 'end_time': None, 'point_in_time': None}"
Pan Yuliang,,,,,,,,,1950.0,1950.0,,,,,No,,Jiangdu District,1899,14th arrondissement of Paris,1977,female,People's Republic of China,painter,"{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Frederick Garling,,,,,,,,,1849.0,1849.0,,,,,No,,,1775,,1848,male,Australia,"['lawyer', 'painter']",[]
Michael Lasuchin,,,,,,,,,1948.0,1948.0,,,,,No,,Kramatorsk,1923,Philadelphia,2006,male,Soviet Union,artist,[]
Zhang Anzhi,,,,,,,,,1954.0,1954.0,,,,,No,,Yangzhou,1911,,518,male,Ming dynasty,"['pedagogue', 'painter', 'historian']",[]
Zhu Yunming,,,,,,,,,1496.0,1496.0,,,,,No,,Suzhou,1461,,1527,male,Ming dynasty,"['calligrapher', 'politician', 'poet']","{'location': ""People's Republic of China"", 'start_time': None, 'end_time': None, 'point_in_time': None}"
Clara Barton,,,,,,,,,1882.0,1882.0,,,,,No,,Oxford,1821,Glen Echo,1912,female,United States of America,"['humanitarian', 'diarist', 'philanthropist', 'author', 'nurse', 'teacher', 'writer']",[]
Francisco Fierro,,,,,,,,,1800.0,1800.0,,,,,No,,Lima,1808,Lima,1879,male,Viceroyalty of Peru,"['watercolorist', 'painter', 'association football player', 'researcher']",[]
Charles Herbert Moore,,,,,,,,,,,"Venice, Italy",,,"{Venice:1},{Italy:1}",,,New York City,1840,Hampshire,1930,male,United States of America,"['art historian', 'painter', 'historian', 'professor']",[]
Madeleine Lemaire,,,,,,,,,1881.0,1881.0,,,,,No,,Les Arcs,1845,Paris,1928,female,France,"['salonnière', 'painter', 'illustrator']","{'location': 'Paris', 'start_time': '1864-01-01T00:00:00Z', 'end_time': '1910-01-01T00:00:00Z', 'point_in_time': None}"
Jamyang Nyima,,,{Contemporary Art:2},,,,,,2013.0,2013.0,Tibet,,,{Tibet:2},Yes,,,1965,,,,People's Republic of China,politician,[]
Tashi,,,{Contemporary Art:2},,,,,,2013.0,2013.0,Tibet,,,{Tibet:2},Yes,,,,,,male,,"['writer', 'botanist']",[]
Otis Polelonema,,,,,,,,,1921.0,1925.0,,,,,No,,Shongopovi,1902,,1972,male,,artist,[]
George Heriot,,,,,,,,,1801.0,1801.0,,,,,No,,Haddington,1759,London,1839,male,Scotland,painter,[]
Jack Hokeah,,,,,,,,,1928.0,1939.0,,,,,No,,,1901,,1969,male,,painter,[]
Isaac Major,,,,,,,,,1620.0,1630.0,,,,,No,,Frankfurt,1588,Vienna,1645,male,,"['painter', 'engraver']",[]
Rinchen Gyatso,,,{Contemporary Art:2},,,,,,2013.0,2013.0,Tibet,,,{Tibet:2},Yes,,,,,,male,,"['writer', 'translator']",[]
Maurice Minkowski,,,,,,,,,1924.0,1927.0,,,,,No,,Warsaw,1882,Buenos Aires,1930,male,Poland,painter,[]
Frances Ann Hopkins,,,,,,,,,1891.0,1891.0,,,,,No,,London,1838,London,1919,female,United Kingdom of Great Britain and Ireland,painter,[]
Ben Quintana,,,,,,,,,1936.0,1942.0,,,,,No,,village of Cochiti,1923,,1944,male,,artist,[]
Carlos Carneiro,,,,,,,,,1961.0,1961.0,,,,,No,,Guimarães,1982,,1971,male,Portugal,"['handball player', 'painter', 'association football player', 'filmmaker']",[]
Guillem Roca,,,,,,,,,1894.0,1895.0,,,,,No,,Terrassa,1860,Madrid,1939,male,Spain,painter,[]
Julião,,,,,,,,,1740.0,1811.0,,,,,No,,Dili,1998,,,male,Brazil,"['association football player', 'civil servant']",[]
Éamonn Ceannt,,,,,,,,,1909.0,1909.0,,,,,No,,Ballymoe,1881,Kilmainham Gaol,1916,male,United Kingdom of Great Britain and Ireland,revolutionary,[]
Marcus Ward & Co.,,,,,,,,,,,"Belfast, UK",,,"{Belfast:1},{UK:1}",,,,,,,,,[],[]
Desmons,,,,,,,,,1855.0,1855.0,,,,,No,,,,,,,,[],[]
Uroš Weinberger,,,,,,,,,2016.0,2016.0,Slovenia,,,{Slovenia:1},Yes,,Trbovlje,1975,,,male,Socialist Federal Republic of Yugoslavia,painter,[]
Biard,,,,,,,,,1819.0,1882.0,,,,,No,,Lyon,1801,Fontainebleau,1889,male,France,painter,"[{'location': 'Paris', 'start_time': '1835-01-01T00:00:00Z', 'end_time': '1882-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Lyon', 'start_time': '1813-01-01T00:00:00Z', 'end_time': '1835-01-01T00:00:00Z', 'point_in_time': None}]"
Smyth,,,,,,,,,1832.0,1832.0,,,,,No,,,1843,,1913,male,United States of America,"['artist', 'botanist', 'curator', 'historian', 'illustrator', 'engraver']","{'location': 'Netherlands', 'start_time': None, 'end_time': None, 'point_in_time': None}"
George Laidman,,,,,,,,,1938.0,1938.0,,,,,No,,,1872,,1954,male,,painter,[]
I Dewa Ketut Rungun,,,,,,,,,1970.0,2013.0,,,,,Yes,,,1922,,1986,,Indonesia,painter,[]
Edward Roper,,,,,,,,,1887.0,1887.0,,,,,No,,,1851,,1921,male,United Kingdom of Great Britain and Ireland,"['cricketer', 'painter', 'politician', 'judge']",[]
Lucius Richard O'Brien,,,,,,,,,1887.0,1887.0,,,,,No,,Oro-Medonte,1832,Toronto,1899,male,Canada,"['painter', 'engineer']",[]
Tristram James Ellis,,,,,,,,,1880.0,1890.0,,,,,No,,Great Malvern,1844,Barnes,1922,male,,painter,"{'location': 'Moscow', 'start_time': '1897-01-01T00:00:00Z', 'end_time': '1899-01-01T00:00:00Z', 'point_in_time': None}"
Martine Bedin,,,,,,,,,2016.0,2016.0,France,,,{France:1},Yes,,Bordeaux,1957,,,female,France,"['designer', 'artist', 'architect']",[]
Eva Samuel,,,,,,,,,1934.0,1948.0,,,,,No,,Essen,1904,Ramat Gan,1989,female,Israel,"['ceramicist', 'painter']",[]
Ida Bagus Made Togog,,,,,,,,,1970.0,1970.0,,,,,No,,,1913,,1989,male,Indonesia,painter,[]
I Dewa Putu Kantor,,,,,,,,,1991.0,1991.0,,,,,,,,1957,,,,Indonesia,[],"{'location': 'Bali Island', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Mughal,,,,,,,,,,,India,,,{India:1},,,,,,,,,[],[]
Jozef Žatko,,,,,,,,,1971.0,1971.0,,,,,No,,Rybany,1930,Bánovce nad Bebravou,1987,male,,"['restorer', 'painter']",[]
Czesław Rzepiński,,,,,,,,,1965.0,1965.0,,,,,No,,,1905,Kraków,1995,male,Poland,painter,"[{'location': 'Kraków', 'start_time': '1924-01-01T00:00:00Z', 'end_time': '1929-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1929-01-01T00:00:00Z', 'end_time': '1934-01-01T00:00:00Z', 'point_in_time': None}]"
Stanisław Fijałkowski,,,,,,,,,1965.0,1965.0,,,,,No,,Zdolbuniv,1922,Łódź,2020,male,Poland,"['printmaker', 'graphic artist', 'university teacher', 'painter', 'teacher']",[]
Lidija Meškaitytė,,,,,,,,,1982.0,1982.0,,,,,,,Antšvenčiai,1926,Jurbarkas,1993,male,Lithuania,painter,[]
Jan Cybis,,,,,,,,,1951.0,1951.0,,,,,No,,"Wróblin, Opole Voivodeship",1897,Warsaw,1972,male,Poland,"['art critic', 'university teacher', 'painter']","[{'location': 'Kraków', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Warsaw', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
McPherson,,,,,,,,,1865.0,1865.0,,,,,No,,,1947,,,male,United States of America,"['explorer', 'botanist', 'curator', 'entomologist', 'mammalogist', 'zoologist']",[]
Alfred Munnings,,,,,,,,,1907.0,1907.0,,,,,No,,Mendham,1878,Dedham,1959,male,United Kingdom of Great Britain and Ireland,"['visual artist', 'painter']",[]
Leonardo Dudreville,,,,,,,,,1917.0,1924.0,,,,,No,,Venice,1885,Ghiffa,1975,male,Kingdom of Italy,"['art critic', 'painter', 'musician', 'artist']","{'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Hortense Haudebourt-Lescot,,,,,,,,,1830.0,1830.0,,Neoclassicism; Realism:1830-1830,{Neoclassicism; Realism:2},,No,,Paris,1784,Paris,1845,female,France,"['watercolorist', 'lithographer', 'painter']","[{'location': 'Paris', 'start_time': '1816-01-01T00:00:00Z', 'end_time': '1845-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': '1808-01-01T00:00:00Z', 'end_time': '1816-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1799-01-01T00:00:00Z', 'end_time': '1808-01-01T00:00:00Z', 'point_in_time': None}]"
Hans Mattis-Teutsch,,,,,,,,,1919.0,1920.0,,,,,No,,Brașov,1884,Brașov,1960,male,Romania,"['journalist', 'sculptor', 'painter', 'poet', 'writer']",[]
KITX,,,,,,,,,,,Australia,,,{Australia:6},,,,,,,,,[],[]
Romance Was Born,,,,,,,,,2009.0,2014.0,,,,,Yes,,,,,,,,[],[]
Emilia Wickstead,,,,,,,,,,,"London, United Kingdom",,,"{London:5},{United Kingdom:5}",,,Auckland,1983,,,female,New Zealand,fashion designer,[]
Merck,,,,,,,,,,,"London, England",,,"{London:3},{England:3}",,,'s-Gravendeel,1610,Leiden,1664,male,,"['painter', 'botanist']","[{'location': 'Dordrecht', 'start_time': '1640-01-01T00:00:00Z', 'end_time': '1649-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'The Hague', 'start_time': '1649-01-01T00:00:00Z', 'end_time': '1658-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Delft', 'start_time': '1628-01-01T00:00:00Z', 'end_time': '1631-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'The Hague', 'start_time': '1636-01-01T00:00:00Z', 'end_time': '1640-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Leiden', 'start_time': '1658-01-01T00:00:00Z', 'end_time': '1664-01-01T00:00:00Z', 'point_in_time': None}]"
Hiroshi Fujii,,,,,,,,,,,"Japan, Kyoto",,,"{Kyoto:1},{Japan:1}",,,Kobe,1950,,2013,male,Japan,"['astronomer', 'engineer', 'mangaka', 'businessperson', 'guitarist', 'agronomist', 'researcher']",[]
Karen Walker,,,,,,,,,,,"London, New Zealand, United Kingdom",,,"{New Zealand:1},{London:1},{United Kingdom:1}",,,New Zealand,1969,,,female,New Zealand,"['secretary', 'fashion designer', 'association football player', 'researcher']",[]
