artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
Robert Goodnough,American,New York School,{Abstract Expressionism:98},,,,,,1950.0,2006.0,,"Abstract Expressionism:1950-2005,Post-Painterly Abstraction:1957-2006,Color Field Painting:1961-1961","{Abstract Expressionism:40}, {Post-Painterly Abstraction:57}, {Color Field Painting:1}",,Yes,
Marcelle Loubchansky,French,,"{Surrealism,Art Informel:17}",,,,,,1953.0,1982.0,,Lyrical Abstraction:1953-1982,{Lyrical Abstraction:17},,,
Lennart Rodhe,Swedish,,{Concrete Art (Concretism):15},,,,,,1944.0,1997.0,,"Concretism:1948-1977,Art Informel:1944-1997","{Concretism:8}, {Art Informel:7}",,,
Fernand Leduc,Canadian,Les Automatistes,"{Abstract Expressionism,Post-Painterly Abstraction:10}",,,,,,1958.0,1977.0,,Color Field Painting:1958-1977,{Color Field Painting:10},,No,
Brion Gysin,"British,Canadian",,"{Surrealism,Neo-Dada:11}",,,,,,1954.0,1974.0,,"Neo-Dada:1962-1974,Action painting:1959-1962,Surrealism:1954-1954","{Neo-Dada:4}, {Action painting:6}, {Surrealism:1}",,No,
Milton Resnick,American,,{Abstract Expressionism:21},,,,,,1957.0,1994.0,,Abstract Expressionism:1957-1994,{Abstract Expressionism:21},,,
Kaoru Kawano,Japanese,,{Shōwa period (1926–1989):47},,,,,,1950.0,1960.0,,Sōsaku hanga:1950-1960,{Sōsaku hanga:47},,No,
Gottfried Honegger,Swiss,,{Concrete Art (Concretism):23},,,,,,1955.0,2003.0,,Concretism:1955-2003,{Concretism:23},,Yes,
Howard Finster,American,,"{Outsider art (Art brut),Pop Art:37}",,,,,,1978.0,1996.0,,Art Brut:1978-1996,{Art Brut:37},,,
Mario Prassinos,"French,Greek,Turkish",École de Paris,{Surrealism:37},,,,,,1935.0,1984.0,,"Surrealism:1935-1984,Art Informel:1953-1978,Automatic Painting:1962-1972,Cubism:1946-1949","{Surrealism:8}, {Art Informel:24}, {Automatic Painting:2}, {Cubism:7}",,,
Richard Pousette Dart,American,"New York School,Irascibles",{Abstract Expressionism:54},,,,,,1930.0,1992.0,"NY, New York City, US","Abstract Expressionism:1940-1992,Abstract Art:1930-1992,Academicism:1944-1944","{Abstract Expressionism:43}, {Abstract Art:11}, {Academicism:1}","{New York City:2},{NY:2},{US:2}",,
Wlodzimierz Zakrzewski,Polish,,"{Realism,Socialist Realism:25}",,,,,,1950.0,1983.0,,"Realism:1964-1983,Socialist Realism:1950-1964","{Realism:22}, {Socialist Realism:3}",,,
Ligia Macovei,Romanian,,{Expressionism:49},,,,,,1940.0,1977.0,,Expressionism:1940-1977,{Expressionism:49},,No,
Eyvind Earle,American,,{Magic Realism:422},"seas-and-oceans,allegories-and-symbols,forests-and-trees,valleys-and-hollows,allegories-and-symbols,cliffs-and-rocks,forests-and-trees,cliffs-and-rocks,gardens-and-parks,rain-and-fog,rain-and-fog,cliffs-and-rocks,autumn,forests-and-trees,rain-and-fog,fields-and-plains,autumn,rain-and-fog,forests-and-trees,forests-and-trees,fields-and-plains,winter,forests-and-trees,Art Center College of Design, Pasadena, CA, US,mountains,female-nude,winter,spring,rain-and-fog,wind,summer,twilight-and-night,sunrise-and-sunset,horses,forests-and-trees,mountains,summer,cliffs-and-rocks,allegories-and-symbols,cliffs-and-rocks,rivers-and-waterfalls,rain-and-fog,forests-and-trees,sunrise-and-sunset,forests-and-trees,twilight-and-night,animals,fields-and-plains,forests-and-trees,cliffs-and-rocks,lonely figures,flowers-and-plants,twilight-and-night,cliffs-and-rocks,autumn,gates-and-towers,allegories-and-symbols,Eden,rain-and-fog,mountains,animals,allegories-and-symbols,gates-and-towers,fields-and-plains,night,forests-and-trees,night,female-portraits,deserts-and-steppes,cliffs-and-rocks,fields-and-plains,manors-and-plantations,winter,mountains,allegories-and-symbols,gardens-and-parks,fields-and-plains,mountains,animals,forests-and-trees,cliffs-and-rocks,seas-and-oceans,mountains,night,birds,forests-and-trees,animals,horses,storm-and-tempest,factories-and-plants,allegories-and-symbols,houses-and-buildings,cottages-and-farmhouses,forests-and-trees,allegories-and-symbols,horses,animals,allegories-and-symbols,forests-and-trees,deserts-and-steppes,winter,countryside,countryside,female-nude,morning,characters-and-emotions,mother-and-child,spring,gardens-and-parks,instruments-and-mechanisms,fields-and-plains,",,,,"Artists2/Eyvind Earle/The Wave 1990.jpg,Artists2/Eyvind Earle/Symphonic Fantasy 1990.jpg,Artists2/Eyvind Earle/Silent Meadow 1990.jpg,Artists2/Eyvind Earle/Radiant Splendor 1990.jpg,Artists2/Eyvind Earle/Little Jewels 1990.jpg,Artists2/Eyvind Earle/Little Big Sur 1990.jpg,Artists2/Eyvind Earle/Garden Of Dreams 1990.jpg,Artists2/Eyvind Earle/Fog Light 1990.jpg,Artists2/Eyvind Earle/Fog Draped Hills 1990.jpg,Artists2/Eyvind Earle/Fire Red And Gold 1990.jpg,Artists2/Eyvind Earle/Fields Of Fog 1990.jpg,Artists2/Eyvind Earle/Early Morning Fog 1990.jpg,Artists2/Eyvind Earle/Black Spruce 1990.jpg,Artists2/Eyvind Earle/Autumn Fields 1990.jpg,Artists2/Eyvind Earle/When The Fog Rolls In 1995.jpg,Artists2/Eyvind Earle/Snow Tree 1995.jpg,Artists2/Eyvind Earle/Snow Covered Bonsai 1995.jpg,Artists2/Eyvind Earle/Ocean Paradise 1995.jpg,Artists2/Eyvind Earle/Green Big Sur 1995.jpg,Artists2/Eyvind Earle/God S Country 1995.jpg,Artists2/Eyvind Earle/Black Silken Hair 1995.jpg,Artists2/Eyvind Earle/A Sounding Of Surf 1995.jpg,Artists2/Eyvind Earle/Into The Forest 1994.jpg,Artists2/Eyvind Earle/California Memories 1994.jpg,Artists2/Eyvind Earle/Seaside Splendor 1994.jpg,Artists2/Eyvind Earle/Yosemite 1994.jpg,Artists2/Eyvind Earle/The White Wave 1994.jpg,Artists2/Eyvind Earle/Three Pastures On A Hillside 1999.jpg,Artists2/Eyvind Earle/Winter Oak 1999.jpg,Artists2/Eyvind Earle/Waves Of Golden Fire 1999.jpg,Artists2/Eyvind Earle/San Luis Obispo 1999.jpg,Artists2/Eyvind Earle/Haze Of Early Spring 1999.jpg,Artists2/Eyvind Earle/Cachuma Ranch 1999.jpg,Artists2/Eyvind Earle/Fog Bound 1998.jpg,Artists2/Eyvind Earle/Crimson Eucalyptus 1998.jpg,Artists2/Eyvind Earle/Summers Twilight 1998.jpg,Artists2/Eyvind Earle/Two Emerald Jewels 1998.jpg,Artists2/Eyvind Earle/Sunrise 1998.jpg,Artists2/Eyvind Earle/New Fallen Snow 1998.jpg,Artists2/Eyvind Earle/Winter Woods 1998.jpg,Artists2/Eyvind Earle/Two Wild Horses 1998.jpg,Artists2/Eyvind Earle/Santa Ynez Memory 1998.jpg,Artists2/Eyvind Earle/Of The Hills And Valley S 1998.jpg,Artists2/Eyvind Earle/Carmel Valley Memory.jpg,Artists2/Eyvind Earle/Santa Fe Trail New Serigrap 2000.jpg,Artists2/Eyvind Earle/Sea Cliffs And Pine Branch 2000.jpg,Artists2/Eyvind Earle/Sunset Flame 2000.jpg,Artists2/Eyvind Earle/Summer Afternoon 2000.jpg,Artists2/Eyvind Earle/My Soul 2000.jpg,Artists2/Eyvind Earle/Evening Magic 2000.jpg,Artists2/Eyvind Earle/Green Mist 1999.jpg,Artists2/Eyvind Earle/Sunset Silhouette 1999.jpg,Artists2/Eyvind Earle/Hidden Pasture 1999.jpg,Artists2/Eyvind Earle/Forest Magic 1999.jpg,Artists2/Eyvind Earle/Dawn S First Light 1998.jpg,Artists2/Eyvind Earle/Mauve Floral 1997.jpg,Artists2/Eyvind Earle/As Far As I Could See 1997.jpg,Artists2/Eyvind Earle/Beneath An Emerald Sky 1997.jpg,Artists2/Eyvind Earle/Through The Fog 1997.jpg,Artists2/Eyvind Earle/Spirit Grove 1997.jpg,Artists2/Eyvind Earle/Thunder Into The Distance 1997.jpg,Artists2/Eyvind Earle/Twilight 1997.jpg,Artists2/Eyvind Earle/Solitude 1997.jpg,Artists2/Eyvind Earle/Santa Ynez Memories 1997.jpg,Artists2/Eyvind Earle/Beauty Beyond Believing 1997.jpg,Artists2/Eyvind Earle/A Touch Of Magic 1997.jpg,Artists2/Eyvind Earle/A Summer Day 1997.jpg,Artists2/Eyvind Earle/Wisps Of Fog And Branch 1996.jpg,Artists2/Eyvind Earle/Big Sur Poem 1996.jpg,Artists2/Eyvind Earle/Purple Sunrise 1996.jpg,Artists2/Eyvind Earle/Forest Bouquet 1996.jpg,Artists2/Eyvind Earle/Quiet Pastures 1996.jpg,Artists2/Eyvind Earle/Purple Sunset 1996.jpg,Artists2/Eyvind Earle/Yorktown Branch 1996.jpg,Artists2/Eyvind Earle/Sunset Magic 1996.jpg,Artists2/Eyvind Earle/Snow Laden 1996.jpg,Artists2/Eyvind Earle/Quiet Evening 1996.jpg,Artists2/Eyvind Earle/Pasture Through The Fog 1996.jpg,Artists2/Eyvind Earle/Fog And Storm And Rain 1996.jpg,Artists2/Eyvind Earle/Fog Mist 1996.jpg,Artists2/Eyvind Earle/Fired By Sun 1996.jpg,Artists2/Eyvind Earle/Early Autumn 1996.jpg,Artists2/Eyvind Earle/Blazing Glory 1996.jpg,Artists2/Eyvind Earle/Before The Sun Goes Down 1996.jpg,Artists2/Eyvind Earle/Beauty Breaks At Dawn 1996.jpg,Artists2/Eyvind Earle/A Touch Of Autumn 1996.jpg,Artists2/Eyvind Earle/Monument Valley 1995.jpg,Artists2/Eyvind Earle/Paradise 1995.jpg,Artists2/Eyvind Earle/A Vagrant Dream 1995.jpg,Artists2/Eyvind Earle/Crimson Red And Gold 1995.jpg,Artists2/Eyvind Earle/Forest Arabesque 1995.jpg,Artists2/Eyvind Earle/Fading Sunset Flame 1995.jpg,Artists2/Eyvind Earle/Solemn Solitude 1995.jpg,Artists2/Eyvind Earle/Hillside 1995.jpg,Artists2/Eyvind Earle/Ocean Mist 1995.jpg,Artists2/Eyvind Earle/Mystical Big Sur 1995.jpg,Artists2/Eyvind Earle/Late Afternoon 1994.jpg,Artists2/Eyvind Earle/Green Fields 1994.jpg,Artists2/Eyvind Earle/Gray Dawn 1994.jpg,Artists2/Eyvind Earle/Even Tide 1994.jpg,Artists2/Eyvind Earle/Crimson Autumn 1994.jpg,Artists2/Eyvind Earle/Carmel Valley Canyon 1994.jpg,Artists2/Eyvind Earle/Fire Magic 1993.jpg,Artists2/Eyvind Earle/Where Eagles Fly 1993.jpg,Artists2/Eyvind Earle/Three Noble Horses 1993.jpg,Artists2/Eyvind Earle/The Valley S Wild 1993.jpg,Artists2/Eyvind Earle/Softening Shades Of Twilight 1993.jpg,Artists2/Eyvind Earle/Emerald Fog 1993.jpg,Artists2/Eyvind Earle/Desert Monument 1993.jpg,Artists2/Eyvind Earle/Three Pastures By The Sea 1992.jpg,Artists2/Eyvind Earle/Snow White 1992.jpg,Artists2/Eyvind Earle/Blue Nocturne 1992.jpg,Artists2/Eyvind Earle/Beneath A Silent Sky 1992.jpg,Artists2/Eyvind Earle/Valley Of Dreams 1992.jpg,Artists2/Eyvind Earle/Toccata And Fugue 1992.jpg,Artists2/Eyvind Earle/Soft Green Meadows 1992.jpg,Artists2/Eyvind Earle/Sea Cliffs And Redwoods 1992.jpg,Artists2/Eyvind Earle/Quiet Solitude 1992.jpg,Artists2/Eyvind Earle/Ocean Cliffs 1992.jpg,Artists2/Eyvind Earle/Moonlit Fields 1992.jpg,Artists2/Eyvind Earle/Mist In The Dark Woods 1992.jpg,Artists2/Eyvind Earle/Live Oak Country 1992.jpg,Artists2/Eyvind Earle/Joan 1992.jpg,Artists2/Eyvind Earle/Green Pastures 1992.jpg,Artists2/Eyvind Earle/Forest Symphony 1992.jpg,Artists2/Eyvind Earle/Fog Enshrouded 1992.jpg,Artists2/Eyvind Earle/Ancient Tree 1992.jpg,Artists2/Eyvind Earle/Three Little Fields 1991.jpg,Artists2/Eyvind Earle/Ocean Splash 1991.jpg,Artists2/Eyvind Earle/Ocean Cliffs 1991.jpg,Artists2/Eyvind Earle/Desert Rocks 1991.jpg,Artists2/Eyvind Earle/Nocturne 1991.jpg,Artists2/Eyvind Earle/Gardner S Ranch 1991.jpg,Artists2/Eyvind Earle/Fields Ascending 1991.jpg,Artists2/Eyvind Earle/California Miniature 1991.jpg,Artists2/Eyvind Earle/Big Sur 1991.jpg,Artists2/Eyvind Earle/A Tree Poem 1991.jpg,Artists2/Eyvind Earle/Stardust Blue 1990.jpg,Artists2/Eyvind Earle/In A Gothic Garden 1990.jpg,Artists2/Eyvind Earle/California Meadows 1989.jpg,Artists2/Eyvind Earle/Central California 1989.jpg,Artists2/Eyvind Earle/Carmel Cypress 1989.jpg,Artists2/Eyvind Earle/Three Fields And A Mountain 1989.jpg,Artists2/Eyvind Earle/Beyond Paradise 1989.jpg,Artists2/Eyvind Earle/Purple Mist 1989.jpg,Artists2/Eyvind Earle/Mystic Mountain 1989.jpg,Artists2/Eyvind Earle/Loma Amarillo 1989.jpg,Artists2/Eyvind Earle/Green Forest 1989.jpg,Artists2/Eyvind Earle/Days End 1989.jpg,Artists2/Eyvind Earle/California Hills 1989.jpg,Artists2/Eyvind Earle/Big Sur Coastline 1989.jpg,Artists2/Eyvind Earle/Sea Wind And Fog 1988.jpg,Artists2/Eyvind Earle/Red Leaves 1988.jpg,Artists2/Eyvind Earle/Yellow Leaves 1988.jpg,Artists2/Eyvind Earle/From Out Of The Sea 1988.jpg,Artists2/Eyvind Earle/Sea Cliff And Pine 1988.jpg,Artists2/Eyvind Earle/Moon Bath 1988.jpg,Artists2/Eyvind Earle/Spruce Redwood And Pine 1988.jpg,Artists2/Eyvind Earle/Sierra Madre Foothills 1988.jpg,Artists2/Eyvind Earle/Red Barrell 1988.jpg,Artists2/Eyvind Earle/Norway Pine 1988.jpg,Artists2/Eyvind Earle/Mendacino 1988.jpg,Artists2/Eyvind Earle/Jewel Forest 1988.jpg,Artists2/Eyvind Earle/Deep Crimson 1988.jpg,Artists2/Eyvind Earle/Crimson Glory 1988.jpg,Artists2/Eyvind Earle/Bonsai 1987.jpg,Artists2/Eyvind Earle/Inland From The Sea 1987.jpg,Artists2/Eyvind Earle/Mystical Fog 1987.jpg,Artists2/Eyvind Earle/Three Horses 1987.jpg,Artists2/Eyvind Earle/Saguaro 1987.jpg,Artists2/Eyvind Earle/Gray Mist 1987.jpg,Artists2/Eyvind Earle/Autumn Sunset 1987.jpg,Artists2/Eyvind Earle/Tall Trees 1987.jpg,Artists2/Eyvind Earle/Pine Tree 1987.jpg,Artists2/Eyvind Earle/Towering Oak 1987.jpg,Artists2/Eyvind Earle/Purple Eucalyptus 1987.jpg,Artists2/Eyvind Earle/Mauve Red And Purple 1987.jpg,Artists2/Eyvind Earle/Eucalyptus Forest 1987.jpg,Artists2/Eyvind Earle/Blue Mist 1987.jpg,Artists2/Eyvind Earle/Still Valley 1986.jpg,Artists2/Eyvind Earle/Snow Trees 1986.jpg,Artists2/Eyvind Earle/Silent Thunder 1986.jpg,Artists2/Eyvind Earle/Morning Mist 1986.jpg,Artists2/Eyvind Earle/Factory 1986.jpg,Artists2/Eyvind Earle/Cliffs Of Darkness 1986.jpg,Artists2/Eyvind Earle/The Great Red Barn 1985.jpg,Artists2/Eyvind Earle/Sunlight 1985.jpg,Artists2/Eyvind Earle/Santa Ynez 1985.jpg,Artists2/Eyvind Earle/Enchanted Forest 1985.jpg,Artists2/Eyvind Earle/Reflections 1984.jpg,Artists2/Eyvind Earle/Cattle Country 1984.jpg,Artists2/Eyvind Earle/Central Park 1983.jpg,Artists2/Eyvind Earle/Amethyst 1983.jpg,Artists2/Eyvind Earle/Turquoise 1983.jpg,Artists2/Eyvind Earle/Summer 1983.jpg,Artists2/Eyvind Earle/Pearl 1983.jpg,Artists2/Eyvind Earle/Midnight Blue 1983.jpg,Artists2/Eyvind Earle/Medieval Promenade 1983.jpg,Artists2/Eyvind Earle/Landof Midnite Sun 1983.jpg,Artists2/Eyvind Earle/California Orchid 1983.jpg,Artists2/Eyvind Earle/Autumn Leaves 1982.jpg,Artists2/Eyvind Earle/Carmel Highlands 1982.jpg,Artists2/Eyvind Earle/Black Oak 1982.jpg,Artists2/Eyvind Earle/Winter Bonsai 1982.jpg,Artists2/Eyvind Earle/Winter Barns 1982.jpg,Artists2/Eyvind Earle/Eucalyptus 1982.jpg,Artists2/Eyvind Earle/Carmel Valley 1982.jpg,Artists2/Eyvind Earle/Winter Barnyard 1981.jpg,Artists2/Eyvind Earle/Winter 1981.jpg,Artists2/Eyvind Earle/Black Evergreen Forest 1981.jpg,Artists2/Eyvind Earle/Awakening 1981.jpg,Artists2/Eyvind Earle/Spring 1981.jpg,Artists2/Eyvind Earle/Horses By The Sea 1981.jpg,Artists2/Eyvind Earle/Winter Quiet 1980.jpg,Artists2/Eyvind Earle/Blue Pine 1980.jpg,Artists2/Eyvind Earle/Mountain Rise 1980.jpg,Artists2/Eyvind Earle/Gothic Forest 1980.jpg,Artists2/Eyvind Earle/Awakening 1980.jpg,Artists2/Eyvind Earle/Santa Ynez Valley 1979.jpg,Artists2/Eyvind Earle/The Rock 1976.jpg,Artists2/Eyvind Earle/Blue Barn And Snow 1976.jpg,Artists2/Eyvind Earle/Red Barn And Tree Snow 1976.jpg,Artists2/Eyvind Earle/Blue Big Sur 1976.jpg,Artists2/Eyvind Earle/Poppies 1976.jpg,Artists2/Eyvind Earle/A Swirl Of Fog 1976.jpg,Artists2/Eyvind Earle/Mother Child 1975.jpg,Artists2/Eyvind Earle/Three Oaks 1975.jpg,Artists2/Eyvind Earle/Delphinium 1975.jpg,Artists2/Eyvind Earle/Hidden Valley 1975.jpg,Artists2/Eyvind Earle/Violet Tree And Barn 1975.jpg,Artists2/Eyvind Earle/Santa Ynez Foothills 1975.jpg,Artists2/Eyvind Earle/Jewel Tree 1975.jpg,Artists2/Eyvind Earle/Fir Tree In Snow 1975.jpg,Artists2/Eyvind Earle/Figure In Blue Grays 1975.jpg,Artists2/Eyvind Earle/Alamo Pintada 1975.jpg,Artists2/Eyvind Earle/Orchard In Bloom 1974.jpg,Artists2/Eyvind Earle/Santa Ynez Oaks 1974.jpg,Artists2/Eyvind Earle/Desert Tree 1974.jpg,Artists2/Eyvind Earle/Valley 1974.jpg,Artists2/Eyvind Earle/Sycamore 1974.jpg,Artists2/Eyvind Earle/Santa Ynez Valley 1974.jpg,Artists2/Eyvind Earle/Eucalyptus 1974.jpg,Artists2/Eyvind Earle/Brown Tree 1974.jpg,Artists2/Eyvind Earle/Big Sur And Branch 1974.jpg,Artists2/Eyvind Earle/Santa Cruz Mountains 1971.jpg,Artists2/Eyvind Earle/Misty Mountains 1970.jpg,Artists2/Eyvind Earle/Green Hillside 1970.jpg,Artists2/Eyvind Earle/Grazing In Peace 1970.jpg,Artists2/Eyvind Earle/California Landscape 1966.jpg,Artists2/Eyvind Earle/Rhapsody Of Steel 1959.jpg,Artists2/Eyvind Earle/Pine Branch 1951.jpg,Artists2/Eyvind Earle/Snowy Mountain 1940.jpg,",,,,,{Magic Realism:422},,,
M F Husain,"Indian,Qatari",Bombay Progressive Artists' Group,{Cubism:79},,,,,,1946.0,2010.0,,"Cubism:1946-2001,Abstract Expressionism:1950-1998,Expressionism:1950-2002,Pop Art:1988-2009,Abstract Art:1960-2010,Cubo-Expressionism:1978-1978","{Cubism:40}, {Abstract Expressionism:15}, {Expressionism:34}, {Pop Art:5}, {Abstract Art:2}, {Cubo-Expressionism:5}",,Yes,
Mary Fedden,British,,{Naïve Art (Primitivism):67},,,,,,1950.0,2009.0,,Naïve Art (Primitivism):1950-2009,{Naïve Art (Primitivism):67},,Yes,
Bernard Schultze,"German,Polish",Quadriga Group,"{Art Informel,Haute Pâte (Matter Painting):22}",,,,,,1954.0,2003.0,,Art Informel:1954-2003,{Art Informel:22},,Yes,
Hassel Smith,American,San Francisco School,{Abstract Expressionism:13},,,,,,1959.0,1992.0,,Abstract Expressionism:1959-1992,{Abstract Expressionism:13},,,
Basuki Abdullah,Indonesian,,{Realism:43},,,,,,1970.0,1970.0,,Realism:1970-1970,"{Realism:31}, {Neo-Romanticism:1}, {Impressionism:10}, {Expressionism:1}, {Abstract Expressionism:2}",,No,
Mathias Goeritz,"German,Mexican",Los Hartos (The Fed-Ups),{Minimalism:37},,,,,,1950.0,1984.0,,"Abstract Expressionism:1953-1980,Spatialism:1958-1976,Minimalism:1967-1984,Surrealism:1950-1976","{Abstract Expressionism:9}, {Concretism:2}, {Spatialism:12}, {Abstract Art:1}, {Minimalism:6}, {Surrealism:8}",,,
Zainul Abedin,,,,"55 x 38.2 cm,",,,,,1943.0,1973.0,,,,,No,
Alexandre Istrati,"French,Romanian",École de Paris,{Tachisme:44},,,,,,1950.0,1991.0,,Tachisme:1950-1991,{Tachisme:44},,,
Natalia Dumitresco,"French,Romanian",École de Paris,{Art Informel:15},,,,,,1957.0,1987.0,,Art Informel:1957-1987,{Art Informel:15},,,
Tihamer Gyarmathy,Hungarian,,{Abstract Art:34},,,,,,1940.0,1990.0,,Abstract Art:1940-1990,{Abstract Art:34},,,
Paul Paun,"Jewish,Romanian,Israeli",S,{Surrealism:15},,,,,,1943.0,1979.0,,"Automatic Painting:1943-1963,Surrealism:1979-1979","{Automatic Painting:13}, {Surrealism:2}",,No,
Aldo Locatelli,"Brazilian,Italian",,{Neoclassicism:13},,,,,,1958.0,1962.0,,"Neoclassicism:1958-1962,Classicism:1960-1962","{Neoclassicism:13}, {Classicism:4}",,No,
Dolfi Trost,"Jewish,Romanian",S,{Surrealism:34},,,,,,1945.0,1952.0,,"Automatic Painting:1945-1945,Surrealism:1945-1952","{Automatic Painting:10}, {Surrealism:24}",,No,
Luis Tomasello,Argentinean,Asociación Arte Nuevo,"{Kinetic art,Op Art:17}",,,,,,1963.0,2008.0,,Op Art:1963-2008,{Op Art:17},,Yes,
Eduard Isabekyan,Armenian,,{Symbolism:5},,,,,,1944.0,1960.0,,Symbolism:1944-1960,{Symbolism:5},,No,
Luis Dourdil,Portuguese,,{Expressionism:12},,,,,,1954.0,1979.0,,Expressionism:1954-1979,{Expressionism:12},,No,
Antonio Dacosta,Portuguese,,{Surrealism:13},,,,,,1940.0,1989.0,,"Surrealism:1940-1989,Metaphysical art:1942-1942","{Surrealism:13}, {Metaphysical art:1}",,,
Nassos Daphnis,"American,Greek",,{Post-Painterly Abstraction:25},,,,,,1941.0,1995.0,,"Hard Edge Painting:1957-1995,Op Art:1968-1995,Expressionism:1941-1948","{Hard Edge Painting:16}, {Op Art:9}, {Expressionism:4}",,,
Ivan Generalic,Croatian,Hlebine School,{Naïve Art (Primitivism):95},,,,,,1930.0,1992.0,,Naïve Art (Primitivism):1930-1992,{Naïve Art (Primitivism):95},,,
Peter Busa,American,,"{Abstract Expressionism,Indian Space Painting:16}",,,,,,1945.0,1977.0,,"Abstract Expressionism:1957-1959,Indian Space painting:1945-1955,Color Field Painting:1964-1977,Expressionism:1945-1945","{Abstract Expressionism:4}, {Indian Space painting:7}, {Color Field Painting:4}, {Expressionism:1}",,No,
Karl Otto Gotz,German,"COBRA,Quadriga Group","{Art Informel,Tachisme:14}","Max Ernst,Juan Gris,Wassily Kandinsky,Paul Klee,",,"Sigmar Polke,Nam June Paik,Gerhard Richter,",,,1947.0,1987.0,,Art Informel:1947-1987,{Art Informel:14},,,
Teodor Harsia,Romanians,,"{Socialist Realism,Expressionism:12}",,,,,,1958.0,1958.0,,Expressionism:1958-1958,"{Expressionism:11}, {Social Realism:1}, {Socialist Realism:1}",,No,
Arthur Pinajian,"American,Armenian",,{Abstract Expressionism:17},,,,,,1960.0,1992.0,,Abstract Expressionism:1960-1992,{Abstract Expressionism:17},,,
Piroska Szanto,Hungarian,,{Surrealism:17},,,,,,1941.0,1991.0,,"Expressionism:1941-1991,Surrealism:1943-1986","{Expressionism:11}, {Surrealism:6}",,,
Johannes Jan Schoonhoven,Dutch,Zero,{Minimalism:24},,,,,,1960.0,1980.0,,Minimalism:1960-1980,{Minimalism:24},,,
Jules Perahim,"French,Jewish,Romanian",,"{Surrealism,Socialist Realism:65}",,,,,,1930.0,1987.0,,"Surrealism:1930-1987,Socialist Realism:1934-1959,Expressionism:1958-1959","{Surrealism:57}, {Socialist Realism:8}, {Expressionism:2}",,,
Kansuke Yamamoto,Japanese,,{Surrealism:37},,,,,,1930.0,1956.0,,Surrealism:1930-1956,{Surrealism:37},,No,
Aurel Cojan,"French,Romanian",,{Art Informel:50},,,,,,1949.0,2003.0,,"Tachisme:1989-2003,Art Informel:1949-2002,Expressionism:1949-1964","{Tachisme:20}, {Art Informel:27}, {Expressionism:3}",,Yes,
Nicolas De Sta L,"French,Russian",,{Art Informel:47},,,,,,1947.0,1955.0,,"Lyrical Abstraction:1952-1955,Art Informel:1947-1955","{Lyrical Abstraction:17}, {Art Informel:30}",,No,
Jose Guerrero,"American,Spanish",New York School,{Abstract Expressionism:31},,,,,,1955.0,1987.0,,Abstract Expressionism:1955-1987,{Abstract Expressionism:31},,,
Endre Balint,Hungarian,,"{Expressionism,Surrealism:26}",,,,,,1936.0,1978.0,,"Surrealism:1947-1978,Abstract Expressionism:1946-1976,Expressionism:1936-1966","{Surrealism:12}, {Abstract Expressionism:6}, {Expressionism:14}",,No,
Ad Reinhardt,American,"New York School,American Abstract Artists,Irascibles","{Abstract Expressionism,Minimalism:52}","Piet Mondrian,Kazimir Malevich,Josef Albers,","Donald Judd,Barnett Newman,Mark Rothko,Frank Stella,",,,"Jackson Pollock,",1937.0,1966.0,"US, NY, Canberra, Fort Worth, Buffalo, Australia, New York City","Expressionism:1944-1946,Abstract Art:1937-1941,Color Field Painting:1952-1966,Hard Edge Painting:1948-1953,Abstract Expressionism:1946-1950,Synthetic Cubism:1940-1940","{Expressionism:7}, {Abstract Art:15}, {Color Field Painting:15}, {Hard Edge Painting:8}, {Abstract Expressionism:5}, {Synthetic Cubism:2}","{New York City:29},{NY:31},{US:32},{Buffalo:2},{Canberra:1},{Australia:1},{Fort Worth:1}",No,
Gerard Sekoto,South African,,{Social Realism:75},,,,,,1939.0,1975.0,,"Social Realism:1939-1952,Expressionism:1940-1975","{Social Realism:41}, {Expressionism:41}",,No,
George Stefanescu,Romanian,,"{Post-Impressionism,Expressionism:264}","theatres,lonely figures,",,,,"Artists2/George Stefanescu/Danseuse 1990.jpg,",1963.0,2005.0,,"Abstract Expressionism:1976-2005,Expressionism:1963-1966","{Abstract Expressionism:90}, {Expressionism:143}, {Cubism:4}, {Post-Impressionism:45}",,Yes,
Meret Oppenheim,"German,Swiss",,{Surrealism:17},,,,,,1933.0,1985.0,,Surrealism:1933-1985,{Surrealism:17},,,
Jean Michel Atlan,"French,Jewish","École de Paris,COBRA",{Art Informel:18},,,,,,1943.0,1959.0,,Art Informel:1943-1959,{Art Informel:18},,No,
Eugene Brands,Dutch,COBRA,{Art Informel:54},,,,,,1951.0,1999.0,,Art Informel:1951-1999,{Art Informel:54},,,
Vasile Kazar,"Jewish,Romanian",,{Expressionism:38},,,,,,1968.0,1987.0,,Expressionism:1968-1987,{Expressionism:38},,,
Gherasim Luca,"French,Jewish,Romanian",S,{Surrealism:38},,,,,,1945.0,1970.0,,Surrealism:1945-1970,{Surrealism:38},,No,
Conrad Marca Relli,American,New York School,{Abstract Expressionism:61},,,,,,1945.0,1986.0,,"Abstract Expressionism:1951-1986,Pop Art:1978-1982,Surrealism:1945-1951","{Abstract Expressionism:59}, {Pop Art:6}, {Surrealism:3}",,,
